catalog,title,primary_team,secondary_team,role_in_program
research,Prediction Markets (Wolfers & Zitzewitz 2004),A,E,价格≈概率但受风险偏好/摩擦/合约设计影响的基础框架
research,Logarithmic Market Scoring Rules (Hanson 2002),A,E,理解 AMM vs CLOB 与流动性成本
research,A Utility Framework for Bounded-Loss Market Makers (2007),A,F,做市深度与最大风险权衡背景
research,Prediction Market Accuracy in the Long Run (2008),A,E,市场 prior 强度的长期证据
research,Forecasting Future World Events with Neural Networks (2022),G,,检索-概率-校准链路的早期路线
research,A Bayesian Approach to In-Game Win Probability in Soccer (2019),D3,E,足球 Game State 结构化 baseline
research,Stochastic Modelling of Football Matches (2023),D3,,time-varying hazard 与红牌/比分状态特征
research,A Market-Calibrated AFT Model for In-Play Football (2026),D3,E,市场 prior+结构+实时特征的最近邻架构
research,A Gamma Process Based In-Play Prediction Model for NBA (2020),D1,,NBA 连续得分过程 baseline
research,Real-Time NBA Predictions Combining Bookmaker Line (2020),D1,,市场 prior 融合的直接证据
research,The Poisson Model Limits in NBA (2016),D1,H,game phase/regime 分层的必要性
research,NBA Extreme Score Shifts and Comeback (2024),D1,,分差×剩余时间价值的经验基线
research,Modeling Basketball Play-by-Play Data (2016),D1,,possession-level Monte Carlo 方法参考
research,Random Forests Win Probability NFL (2014),D2,,NFL 经典 ML baseline + spread prior
research,nflWAR (2018),D2,C,nflfastR 生态的数据定义与复现流程
research,Going Deep: Continuous-Time Within-Play Valuation (2019),D2,,tracking+序列模型的远期路线（MVP 不做）
research,Exploring the Difficulty of Estimating Win Probability (2026),H,D1;D2;D3,game 内相关性→cluster bootstrap 强制要求
research,ML for Sports Betting: Accuracy or Calibration? (2023),H,D1;D2;D3;D4;D5,calibration-first 模型选择标准
research,Information and Efficiency: Goal Arrival (2014),E,,事件后快速充分反应的对照基线
research,Informational Efficiency In-Play Prediction Markets (2022),E,,salience×liquidity 决定反应速度的证据
research,When Do Markets Fully Process Public Information? (2026),E,H,X-04 直接复现对象（0.64 部分调整）
research,"Prices, Probabilities, and Parlays (2026)",E,H,time-to-expiry 与产品类型入校准模型
research,Arbitrage Analysis in Polymarket NBA Markets (2026),E,G,跨市场套利容量/持续时间/深度约束先验
research,Semantic Non-Fungibility and LOOP Violations (2026),A,G,relation taxonomy 与 X-10 的理论依据
research,When Certainty Is Not Worth It: Capital Lock-Up (2026),E,G,settlement discount 入持仓与套利模型
research,Decomposing Crowd Wisdom (2026),E,H,sport×venue×horizon×liquidity 分层校准要求
research,High-Frequency Trading in a Limit Order Book (2008),F,,maker 库存偏斜与 adverse selection 基准
research,The Queue-Reactive Model (2015),F,,第一版可解释 queue simulator 的方法来源
research,Fill Probabilities with State-Dependent Flows (2024),F,,可解释 fill probability baseline
research,Deep Attentive Survival Analysis in LOB (2023),F,,自有标签积累后的深度 execution 候选
research,KANFormer for Fill Probabilities (2025),F,,前沿；仅进 evidence table
research,The Negative Drift of a Limit Order Fill (2024),F,H,post-fill markout 强制上报的依据
research,Deep Learning Meets Queue-Reactive (2025),F,,生成式仿真远期参考
