dataset_id,name,use_class,catalog_item_ids,canonical_url,source_version,coverage,grain,auth,license,license_status,license_review_id,timestamp_semantics,allowed_experiments,manifest_sha256,status,owner,version,due_gate
DS-PMXT-V2,PMXT Archive v2,canonical,I-013;O-006,https://archive.pmxt.dev/docs/v2-data-overview,v2,Archive partitions subject to manifest-bound inventory,L2 market event,public,CC-BY-4.0,approved,O-006,source timestamp and timestamp_received require per-schema audit,X-01;X-02;X-03;X-04;X-05;X-07;X-09;X-10,sha256:9477f8d9a224b47b6dda47dd691761d4ca8b5d88be6ad07416217a2bb44c89a4,registered,C+I,v0,2026-08-05_W2_review
DS-POLYMARKET-PUBLIC,Polymarket official public market APIs and WebSocket,canonical,I-001;I-003;O-001,https://docs.polymarket.com/developers/CLOB/websocket/market-channel,public-api@2026-07-22,Prospective capture from recorder start,market metadata and live market events,public,TERMS-GOVERNED,pending,O-001,source update and local receive timestamps must remain distinct,X-01;X-03;X-08;X-09;X-10,UNRESOLVED,registered,B+C+I,v0,Team_I_compliance_green
DS-POLYMARKET-V1,TimeSeventeen Polymarket-v1 database,canonical,R-039,https://huggingface.co/datasets/TimeSeventeen/Polymarket-v1,66a1d6ddfc3cdab9e2087c1e2e855bab272d3404,Historical fills and lifecycle bulk dataset,fill and market lifecycle record,public,CC-BY-4.0,approved,R-039,dataset timestamps require source-schema PIT audit,X-01,sha256:2d134425e0098c61a9401136a9ba1da7b5dc779db3ea0b5c1687c816f401473c,registered,C,v0,2026-08-05_W2_review
DS-KALSHI-HISTORICAL,Kalshi official historical REST,canonical,I-005,https://docs.kalshi.com/api-reference/market/get-markets,official-rest@2026-07-22,Official REST retention and endpoint coverage,market candle and trade records,public,TERMS-GOVERNED,pending,O-003,exchange timestamps and fetch time must remain distinct,X-03;X-08,UNRESOLVED,registered,C+B+I,v0,2026-08-05_W2_review
DS-KALSHI-LIVE-L2,Kalshi authenticated live orderbook WebSocket,blocked,I-004;O-003,https://docs.kalshi.com/websockets/orderbook-updates,live-l2@2026-07-22,Prospective authenticated capture from recorder start,L2 orderbook delta,rsa_key_required,TERMS-GOVERNED,pending,O-003,exchange timestamps and local receive timestamps must remain distinct,X-08,UNRESOLVED,blocked,B+C+I,v0,Team_I_compliance_green
DS-PREDICTION-MARKET-BENCH,PredictionMarketBench,secondary,R-042;I-012,https://github.com/Polymarket/PredictionMarketBench,unresolved_release,Benchmark-defined coverage,benchmark example,public,UNKNOWN,pending,R-042,benchmark-defined timestamps require PIT audit,X-09,UNRESOLVED,registered,H+F,v0,2026-08-19_W4_review
DS-POLYBENCH,PolyBench,secondary,R-043;I-016,https://github.com/OctagonAI/PolyBench,unresolved_release,Benchmark-defined coverage,benchmark task,public,UNKNOWN,pending,R-043,benchmark-defined timestamps require PIT audit,X-10,UNRESOLVED,registered,G+E+C,v0,2026-08-19_W4_review
DS-NBA-CANDIDATE,NBA statistics candidate source,blocked,I-021;O-005,https://github.com/swar/nba_api,v1.11.4,Multi-season NBA play-by-play candidate,play and possession candidate,public,NBA.COM-TERMS,blocked,O-005,source event time is not proven production availability,X-04;X-06,UNRESOLVED,blocked,D1+C+I,v0,Team_I_compliance_green
DS-NFLVERSE,nflverse play-by-play,canonical,I-018,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_%7BYEAR%7D.parquet,github_release_id:58152862@2026-02-12T10:25:26Z;observed_at:2026-07-22,1999 onward with X-11 restricted to 2015-2025,play,public,CC-BY-4.0,approved,I-018,play timestamps and feature availability require PIT contract,X-11,sha256:c3e0a6faf3ced30fb94572fd8e488026c52984d55d5c03a497400f11c96b3646,registered,D2+C,v0,2026-08-05_W2_review
DS-NFL-FASTRMODELS,nflverse fastrmodels official no-spread win-probability booster,canonical,I-018,https://github.com/nflverse/fastrmodels/releases/download/model_archive/wp_model.ubj,archive_commit:9f2495fdb4943087ca663d96706eb5df7973aff4;asset_id:253928623,Official no-spread regulation win-probability model release asset,XGBoost UBJSON booster,public,MIT,approved,I-018,release artifact has no event-time semantics and is evaluation input only,X-11,sha256:080d98f34495fe59a532b7c24e17536f471700e92ac8415b682234d7241fe3cb,registered,D2+H,v0,2026-08-05_W2_review
