model_id,model_version,source_catalog_item_ids,experiment_id,target,horizon,state_space,pit_feature_contract,data_manifest_sha256,training_manifest_sha256,parameter_config_sha256,seed,metrics,status,owner,due_gate
MODEL-NBA-PRIOR,v0,R-010;I-021,X-06,final_game_winner,game_end,away_win|home_win,unresolved:nba_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,blocked,D1+H,X06_calibration_gate
MODEL-NBA-LOGISTIC,v0,R-010;R-017;R-018;I-021,X-06,final_game_winner,game_end,away_win|home_win,unresolved:nba_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,blocked,D1+H,X06_calibration_gate
MODEL-NBA-GBDT,v0,R-010;R-017;R-018;I-021,X-06,final_game_winner,game_end,away_win|home_win,unresolved:nba_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,blocked,D1+H,X06_calibration_gate
MODEL-NBA-POSSESSION-TRANSITION,v1,R-009;I-021,X-06,next_possession_scoring_outcome,next_state_transition,home_score|away_score|no_score,unresolved:nba_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,transition_log_loss|transition_Brier|game_cluster_bootstrap_ci,blocked,D1+H,X06_calibration_gate
MODEL-NFL-SPREAD-PRIOR,v0,R-014;I-018,X-11,final_game_outcome,game_end,away_win|home_win|tie,unresolved:nfl_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,registered,D2+H,2026-08-05_W2_review
MODEL-NFL-LOGISTIC,v0,R-014;R-017;R-018;I-018,X-11,final_game_outcome,game_end,away_win|home_win|tie,unresolved:nfl_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,registered,D2+H,2026-08-05_W2_review
MODEL-NFL-GBDT,v0,R-014;R-017;R-018;I-018,X-11,final_game_outcome,game_end,away_win|home_win|tie,unresolved:nfl_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,registered,D2+H,2026-08-05_W2_review
MODEL-NFL-NFLFASTR-COMPARATOR,v0,R-014;I-018,X-11,final_game_outcome,game_end,away_win|home_win|tie,unresolved:nfl_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Brier|log_loss|calibration_slope|calibration_intercept|game_cluster_bootstrap_ci,registered,D2+H,2026-08-05_W2_review
MODEL-NFL-DRIVE-TRANSITION,v1,R-014;I-018,X-11,next_drive_outcome,next_state_transition,touchdown|field_goal|punt|turnover|other,unresolved:nfl_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,transition_log_loss|transition_Brier|game_cluster_bootstrap_ci,registered,D2+H,2026-08-05_W2_review
MODEL-SOCCER-DIXON-COLES,v0,R-006;R-007;R-017;R-018;I-019,X-12,final_1x2_outcome,game_end,away_win|draw|home_win,unresolved:soccer_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,multiclass_Brier|multiclass_log_loss|1x2_calibration,poc_only,D3+H,2026-08-05_W2_review
MODEL-SOCCER-FIVE-MINUTE-TRANSITION,v1,R-006;R-007;I-019,X-12,next_five_minute_goal_outcome,next_state_transition,home_goal|away_goal|no_goal,unresolved:soccer_pit_feature_contract,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,transition_log_loss|transition_Brier|five_minute_calibration,poc_only,D3+H,2026-08-05_W2_review
