catalog_item_id,team,responsibility
R-001,A,primary
R-001,E,secondary
R-002,A,primary
R-002,E,secondary
R-003,A,primary
R-003,F,secondary
R-004,A,primary
R-004,E,secondary
R-005,G,primary
R-006,D3,primary
R-006,E,secondary
R-007,D3,primary
R-008,D3,primary
R-008,E,secondary
R-009,D1,primary
R-010,D1,primary
R-011,D1,primary
R-011,H,secondary
R-012,D1,primary
R-013,D1,primary
R-014,D2,primary
R-015,D2,primary
R-015,C,secondary
R-016,D2,primary
R-017,H,primary
R-017,D1,secondary
R-017,D2,secondary
R-017,D3,secondary
R-018,H,primary
R-018,D1,secondary
R-018,D2,secondary
R-018,D3,secondary
R-018,D4,secondary
R-018,D5,secondary
R-019,E,primary
R-020,E,primary
R-021,E,primary
R-021,H,secondary
R-022,E,primary
R-022,H,secondary
R-023,E,primary
R-023,G,secondary
R-024,A,primary
R-024,G,secondary
R-025,E,primary
R-025,G,secondary
R-026,E,primary
R-026,H,secondary
R-027,F,primary
R-028,F,primary
R-029,F,primary
R-030,F,primary
R-031,F,primary
R-032,F,primary
R-032,H,secondary
R-033,F,primary
R-034,F,primary
R-034,B,secondary
R-035,F,primary
R-036,F,primary
R-036,A,secondary
R-037,F,primary
R-037,A,secondary
R-038,C,primary
R-039,C,primary
R-039,G,secondary
R-040,C,primary
R-040,E,secondary
R-041,C,primary
R-041,G,secondary
R-042,H,primary
R-042,F,secondary
R-043,G,primary
R-043,E,secondary
R-043,C,secondary
R-044,G,primary
R-044,H,secondary
R-045,G,primary
R-046,A,primary
R-046,G,secondary
R-047,G,primary
R-047,H,secondary
R-048,G,primary
R-049,G,primary
R-049,E,secondary
R-050,G,primary
R-051,H,primary
R-052,H,primary
R-053,H,primary
R-054,H,primary
R-054,G,secondary
I-001,B,primary
I-001,C,secondary
I-002,B,primary
I-002,D1,secondary
I-002,D2,secondary
I-003,B,primary
I-004,B,primary
I-004,C,secondary
I-005,C,primary
I-005,B,secondary
I-006,B,primary
I-007,B,primary
I-007,F,secondary
I-008,F,primary
I-009,F,primary
I-010,B,primary
I-011,B,primary
I-012,H,primary
I-012,F,secondary
I-013,C,primary
I-013,B,secondary
I-013,G,secondary
I-014,G,primary
I-015,G,primary
I-015,H,secondary
I-016,G,primary
I-016,E,secondary
I-017,G,primary
I-018,D2,primary
I-018,C,secondary
I-019,D3,primary
I-019,C,secondary
I-019,I,secondary
I-020,D3,primary
I-021,D1,primary
I-021,C,secondary
I-021,I,secondary
I-022,G,primary
I-022,I,secondary
I-023,G,primary
I-024,G,primary
I-025,G,primary
O-001,I,primary
O-001,B,secondary
O-002,I,primary
O-002,B,secondary
O-002,F,secondary
O-003,I,primary
O-003,B,secondary
O-004,I,primary
O-004,D3,secondary
O-005,I,primary
O-005,D1,secondary
O-006,I,primary
O-006,C,secondary
O-007,I,primary
O-007,D4,secondary
O-008,I,primary
O-008,D5,secondary
